,DFS_time,DFS_len,BFS_time,BFS_len,AStar_time,AStar_len
0,0.0,17,0.0,17,0.0010001659393310547,21
1,0.0,25,0.0,11,0.0,11
2,0.0,24,0.0,10,0.0,10
3,0.0,10,0.0,10,0.0009999275207519531,26
4,0.0,6,0.0,6,0.0,6
5,0.0,22,0.0,14,0.0,14
6,0.0,33,0.0,13,0.0010001659393310547,29
7,0.0,2,0.0,2,0.0,2
8,0.0,9,0.0,3,0.0,3
9,0.0,23,0.0,23,0.0,25
10,0.0010001659393310547,35,0.0,21,0.0,21
11,0.0,6,0.0,6,0.0,12
12,0.0,11,0.0,7,0.0,7
13,0.0,12,0.0,10,0.0,10
14,0.0,30,0.0,6,0.0,6
15,0.0,2,0.0,2,0.0,2
16,0.0,4,0.0,4,0.0,4
17,0.0010001659393310547,17,0.0,17,0.0,17
18,0.0,18,0.0,12,0.0,18
19,0.0,15,0.0,15,0.0010013580322265625,15
20,0.0,19,0.0,19,0.0,19
21,0.0,19,0.0,19,0.00099945068359375,19
22,0.0,32,0.0,8,0.0,24
23,0.0,5,0.0,5,0.0,5
24,0.0,12,0.0,8,0.0010001659393310547,8
25,0.0,9,0.0,9,0.0,23
26,0.0,20,0.0,10,0.0,10
27,0.0,21,0.0,5,0.0,5
28,0.0,13,0.0010006427764892578,9,0.0,9
29,0.0,9,0.0,7,0.0,7
30,0.0,12,0.0,12,0.0,12
31,0.0,12,0.0,12,0.0,12
32,0.0,3,0.0,1,0.0,3
33,0.0010001659393310547,36,0.0,16,0.0,36
34,0.0,28,0.0,8,0.0,8
35,0.0,3,0.0,1,0.0,3
36,0.0,25,0.0,13,0.0,19
37,0.0,30,0.0,10,0.0,10
38,0.0,26,0.0,26,0.0,26
39,0.0,28,0.0,18,0.0,28
40,0.0,24,0.0,6,0.0,6
41,0.0,13,0.0,13,0.0,13
42,0.0,20,0.0,12,0.0,20
43,0.0,14,0.0,10,0.0,14
44,0.0009999275207519531,17,0.0,17,0.0,17
45,0.0,13,0.0,7,0.0,7
46,0.0,29,0.0010004043579101562,25,0.0,27
47,0.0,8,0.0,8,0.0,8
48,0.0,34,0.0,6,0.0,6
49,0.0,18,0.0,18,0.0,18
50,0.0,27,0.0,27,0.0009999275207519531,27
51,0.0,31,0.0,17,0.0,31
52,0.0,35,0.0,11,0.0,17
53,0.0,6,0.0,6,0.0,6
54,0.0,28,0.0,16,0.0,16
55,0.0,3,0.0,3,0.0,3
56,0.0010004043579101562,3,0.0,1,0.0,3
57,0.0,19,0.0,15,0.0,15
58,0.0,10,0.0,4,0.0,4
59,0.0,11,0.0,11,0.0,23
60,0.0010001659393310547,10,0.0,10,0.0,10
61,0.0,27,0.0,7,0.0,27
62,0.0,21,0.0,3,0.0,3
63,0.0010004043579101562,20,0.0,10,0.0,10
64,0.0,21,0.0,13,0.0,13
65,0.0,2,0.0,2,0.0,2
66,0.0,3,0.0,3,0.0,3
67,0.0,35,0.0,7,0.0010004043579101562,7
68,0.0,19,0.0,19,0.0,19
69,0.0,5,0.0,5,0.0,5
70,0.0,18,0.0009999275207519531,14,0.0,14
71,0.0,14,0.0,14,0.0,14
72,0.0,11,0.0,11,0.0,11
73,0.0,29,0.0,9,0.0010004043579101562,9
74,0.0,4,0.0,4,0.0,4
75,0.0,10,0.0,10,0.0,10
76,0.0,9,0.0,9,0.0,9
77,0.0,16,0.0010001659393310547,16,0.0,16
78,0.0,30,0.0,22,0.0,22
79,0.0,18,0.0,18,0.0,18
80,0.0010001659393310547,21,0.0,7,0.0,7
81,0.0,30,0.0,18,0.0,30
82,0.0,3,0.0,3,0.0,3
83,0.0,9,0.0,5,0.0,5
84,0.0,6,0.0,6,0.0,6
85,0.0,9,0.0,9,0.0,9
86,0.0,12,0.0,12,0.0,12
87,0.0,8,0.0,8,0.0,8
88,0.0,13,0.0,13,0.0,13
89,0.0,11,0.0,11,0.0,11
90,0.0,13,0.0,13,0.0,13
91,0.0,14,0.0,14,0.0,16
92,0.0,8,0.0,8,0.0,8
93,0.0,12,0.0,6,0.0,6
94,0.0,26,0.0,12,0.0,18
95,0.0,2,0.0,2,0.0,2
96,0.0,23,0.0,7,0.0,7
97,0.0,13,0.0,13,0.0,13
98,0.0,9,0.0,9,0.0,9
99,0.0010006427764892578,16,0.0,16,0.0,16
100,0.0,26,0.0,20,0.0,26
101,0.0010001659393310547,27,0.0,21,0.0,23
102,0.0,16,0.0,16,0.0,16
103,0.0,13,0.0,13,0.0010001659393310547,13
104,0.0,5,0.0,5,0.0,5
105,0.0,13,0.0,9,0.0,9
106,0.0,11,0.0,11,0.0009999275207519531,11
107,0.0,24,0.0,16,0.0,16
108,0.0,14,0.0,10,0.0,10
109,0.0,5,0.0010001659393310547,5,0.0,5
110,0.0,2,0.0,2,0.0,2
111,0.0,4,0.0,4,0.0,4
112,0.0,27,0.0,1,0.0,3
113,0.0,23,0.0,9,0.0,9
114,0.0,22,0.0010006427764892578,8,0.0,8
115,0.0,19,0.0,11,0.0,15
116,0.0,3,0.0,1,0.0,3
117,0.0,12,0.0,6,0.0,6
118,0.0,20,0.0,8,0.0,8
119,0.0,30,0.0,8,0.0,8
120,0.0,5,0.0,5,0.0,9
121,0.0,37,0.0,3,0.0,3
122,0.0,29,0.0,21,0.0,21
123,0.0,2,0.0,2,0.0,2
124,0.0,21,0.0,17,0.0,17
125,0.0,20,0.0,8,0.0,8
126,0.0,5,0.0,5,0.0,5
127,0.0,32,0.0010004043579101562,14,0.0,14
128,0.0,35,0.0,5,0.0,5
129,0.0,5,0.0,5,0.0,5
130,0.0,26,0.0,22,0.0,22
131,0.0,22,0.0,16,0.0010004043579101562,22
132,0.0,26,0.0,26,0.0,32
133,0.0,10,0.0,10,0.0,24
134,0.0,3,0.0,3,0.0009996891021728516,3
135,0.0,2,0.0,2,0.0,2
136,0.0,3,0.0,3,0.0,3
137,0.0,24,0.0,24,0.0,24
138,0.0,4,0.0,4,0.0,4
139,0.0,26,0.0,2,0.0,2
140,0.0,16,0.0,14,0.0,16
141,0.0,11,0.0,9,0.0,15
142,0.0,2,0.0,2,0.0,2
143,0.0,21,0.0,5,0.0,5
144,0.0010004043579101562,21,0.0,9,0.0,9
145,0.0,6,0.0,6,0.0,12
146,0.0,32,0.0,8,0.0,8
147,0.0,23,0.0010004043579101562,23,0.0,23
148,0.0,27,0.0,13,0.0,13
149,0.0,16,0.0,14,0.0,16
150,0.0,3,0.0,3,0.0,3
151,0.0,24,0.0,8,0.0,24
152,0.0,9,0.0,9,0.0,9
153,0.0,26,0.0,8,0.0,8
154,0.0,18,0.0,14,0.0009999275207519531,14
155,0.0,13,0.0,9,0.0,9
156,0.0,23,0.0,11,0.0,11
157,0.0,43,0.0,5,0.0,5
158,0.0,17,0.0,17,0.0,17
159,0.0,34,0.0,4,0.0,4
160,0.0,27,0.0,1,0.0,3
161,0.0,23,0.0,9,0.0,23
162,0.0,11,0.0,7,0.0,7
163,0.0,3,0.0,3,0.0,3
164,0.0,23,0.0,11,0.0,19
165,0.0,7,0.0,5,0.0,5
166,0.0,5,0.0,5,0.0,5
167,0.0,19,0.0,7,0.0,7
168,0.0,3,0.0,3,0.0,3
169,0.0,3,0.0,3,0.0,3
170,0.0,4,0.0,4,0.0,4
171,0.00099945068359375,38,0.0,22,0.0,28
172,0.0,20,0.0,12,0.0,12
173,0.0,20,0.0,18,0.0010001659393310547,20
174,0.0,16,0.0,8,0.0,8
175,0.0,25,0.0,15,0.0,15
176,0.0,13,0.0010004043579101562,13,0.0,13
177,0.0,8,0.0,8,0.0,18
178,0.0,32,0.0,6,0.0,6
179,0.0,25,0.0,13,0.0,27
180,0.0,2,0.0,2,0.0,2
181,0.0,17,0.0,17,0.0,17
182,0.0,27,0.0,7,0.0,7
183,0.0,6,0.0,6,0.0,6
184,0.0,22,0.0,22,0.0,22
185,0.0,4,0.0,4,0.0,4
